Table,Column,DataType,Suggestion1,Score1,Suggestion2,Score2,Suggestion3,Score3,ChosenGlobalId (fill in),Notes
PsInstitution,MostPrevalentLevelOfInstitutionCode,nvarchar,Level of Institution (000178),0.8985,Most Prevalent Level of Institution (002025),0.8541,School Type (000242),0.7769,,
K12Organization,LEA_K12LeaTitleISupportService,varchar,Title I Support Services (000289),0.8962,Has Local Education Agency Title I Support Service (600253),0.8647,Local Education Agency Title I Support Service (200196),0.8632,,
K12StudentCourseSection,DataCollectionId,int,Source System Data Collection Identifier (001964),0.893,Data Collection Description (001967),0.8576,Data Collection Status (001990),0.8442,,
OrganizationSchoolIndicatorStatus,DataCollectionId,int,Source System Data Collection Identifier (001964),0.893,Data Collection Description (001967),0.8576,Data Collection Status (001990),0.8442,,
EarlyLearningOrganization,OrganizationOperationalStatusId,int,Organization Operational Status (001418),0.8926,School Operational Status (000533),0.8581,Local Education Agency Operational Status (000174),0.849,,
K12StaffAssignment,SpecialEducationStaffCategory,nvarchar,Special Education Related Services Personnel (000262),0.8919,K12 Staff Classification (000087),0.8806,Special Education Teacher (000264),0.8433,,
OrganizationGradeOffered,GradeOffered,varchar,Has Grades Offered (000131),0.8918,Course Academic Grade (000053),0.7573,Has Course Academic Grade Status Code (001299),0.7239,,
EducationOrganizationNetwork,EducationOrganizationNetworkTypeCode,nvarchar,Education Organization Network (200389),0.8895,Organization Type (001156),0.7158,Organization Identifier Type (200416),0.6535,,
PersonStatus,HomelessNightTimeResidence_StartDate,date,Homeless Primary Nighttime Residence (000146),0.8857,Status Start Date (001227),0.8318,Homelessness Status (000149),0.776,,
FipsCounty,State,varchar,State Abbreviation (000267),0.8841,State Poverty Designation (000585),0.6203,State ANSI Code (000424),0.6181,,
PersonStatus,Section504_ProgramParticipationEndDate,date,Program Participation Exit Date (000591),0.8819,Workforce Program Participation End Date (000999),0.8768,Program Participation Start Date (000590),0.8517,,
ProgramParticipationCTE,DisplacedHomeMakerIndicator,bit,Career-Technical-Adult Education Displaced Homemaker Indicator (000084),0.8805,Status End Date (001228),0.8349,Status Start Date (001227),0.8185,,
EducationOrganizationNetwork,EducationOrganizationNetworkTypeDescription,nvarchar,Education Organization Network (200389),0.8791,Organization Type (001156),0.7197,Local Education Agency Type (000537),0.63,,
PersonStatus,FosterCare_ProgramParticipationEndDate,date,Program Participation Exit Date (000591),0.8752,Workforce Program Participation End Date (000999),0.8699,Program Participation Start Date (000590),0.8449,,
ProgramParticipationTitleIII,Proficiency_TitleIII,varchar,Proficiency Status (000573),0.8751,Has Title III English Learner Participation Status (000565),0.7494,Has Proficiency Target Status for Math (000221),0.7341,,
IdeaDisabilityType,IsSecondaryDisability,bit,Primary Disability Type (000218),0.8682,Disability Status (000577),0.7917,Person Disability (200285),0.7887,,
PersonStatus,HomelessNightTimeResidence_EndDate,date,Status End Date (001228),0.8669,Homeless Primary Nighttime Residence (000146),0.8505,Homelessness Status (000149),0.7657,,
K12StudentAddress,CountryDescription,nvarchar,Country Code (000050),0.8661,Has Military Country (002034),0.6755,Region (200394),0.6622,,
K12Organization,School_IsReportedFederally,bit,Has Local Education Agency Federal Reporting (600241),0.866,Local Education Agency Federal Reporting (200190),0.8597,Federal School Code (000111),0.8163,,
OrganizationCalendarSession,BeginDate,datetime,Session Begin Date (000251),0.8638,Status Start Date (001227),0.8624,Competency Framework Valid Start Date (000700),0.8602,,
K12StudentCourseSection,OrganizationID_Course,int,Course Code System (000056),0.8523,Course Identifier (000055),0.8356,Course Number (001314),0.8188,,
K12StudentCourseSection,OrganizationPersonRoleId_School,int,K12 Staff Classification (000087),0.8513,Has Job Position Identification (600185),0.8258,Job Position Identification (200182),0.8159,,
K12Enrollment,FoodServiceEligibility,nvarchar,Eligibility Status for School Food Service Programs (000092),0.8504,Program Participation Food Service (200319),0.8493,Has Program Participation Food Service (600192),0.8067,,
K12StudentCourseSection,OrganizationID_LEA,int,Has Organization Identifier (600502),0.8504,Organization Identifier (000826),0.8454,Has Organization Identifier Type (600567),0.8235,,
ProgramParticipationTitleIII,EnglishLearnerParticipation,bit,English Learner Status (000180),0.8498,Title III English Learner Participation Status (000565),0.8434,Program Participation Title III English Learner (200325),0.8304,,
StateDetail,SeaContact_Identifier,nvarchar,Local Education Agency Identifier (001068),0.8452,Organization Identifier (000826),0.8234,State Agency Identifier (001490),0.8131,,
K12Enrollment,LanguageNative,nvarchar,Person Language (200293),0.8449,Has Person Language (600052),0.83,Has Language Type (000316),0.8026,,
K12StudentAddress,CountyAnsiDescription,nvarchar,County ANSI Code (001209),0.8397,Responsible District Type (000594),0.6457,Address County Name (000190),0.6199,,
K12Organization,School_IndicatorStatusType,varchar,School Type (000242),0.8366,Title I School Status (000285),0.827,K12 School Status (200203),0.8258,,
ProgramParticipationCTE,SingleParentIndicator,bit,Single Parent or Single Pregnant Woman Status (000580),0.8331,Has Teen Parent Indicator (002062),0.8173,Has Custodial Parent or Guardian Indicator (000329),0.807,,
OrganizationCalendarSession,CalendarYear,nvarchar,School Year (000243),0.8245,Calendar Event Date (001275),0.7656,Fiscal Year (001639),0.7654,,
Discipline,DisciplineActionIdentifier,nvarchar,Disciplinary Action Taken (000488),0.8135,Has Corrective Action Type (000049),0.7846,Learner Action (200225),0.7639,,
K12Organization,LEA_IsReportedFederally,bit,Has Local Education Agency Federal Reporting (600241),0.8124,Local Education Agency Federal Reporting (200190),0.786,Gun Free Schools Act Reporting Status (000134),0.7143,,
K12SchoolComprehensiveSupportIdentificationType,ComprehensiveSupportReasonApplicability,varchar,Discipline Reason (000545),0.8122,Has Program Entry Reason (001922),0.7563,Special Education Exit Reason (000260),0.7532,,
K12StudentAddress,LocationId,nvarchar,School Identifier (001069),0.7977,Responsible School Identifier (000638),0.795,School Identification System (001073),0.7897,,
OrganizationCustomSchoolIndicatorStatusType,IndicatorStatus,varchar,Elementary-Middle Additional Indicator Status (000091),0.7969,English Learner Status (000180),0.7352,Has Exit or Withdrawal Status (000108),0.733,,
OrganizationSchoolIndicatorStatus,IndicatorStatus,varchar,Elementary-Middle Additional Indicator Status (000091),0.7969,English Learner Status (000180),0.7352,Has Exit or Withdrawal Status (000108),0.733,,
K12StudentAddress,RefStateId,int,State Abbreviation (000267),0.7903,State ANSI Code (000424),0.7559,Has State Agency Identification System (001491),0.7169,,
IndicatorStatusCustomType,Definition,nvarchar,Competency Definition (200065),0.7898,Competency Definition URL (000874),0.7816,Competency Definition Notes (001249),0.7645,,
StateDefinedCustomIndicator,Definition,nvarchar,Competency Definition (200065),0.7898,Competency Definition URL (000874),0.7816,Competency Definition Notes (001249),0.7645,,
K12StudentCourseSection,OrganizationPersonRoleId_LEA,int,Job Position Identification (200182),0.7895,K12 Staff Assignment (200207),0.7857,Has Job Position Identification (600185),0.7842,,
StateDetail,SeaContact_PhoneNumber,nvarchar,Web Site Address (000704),0.7882,Electronic Mail Address (000088),0.7831,Organization Identifier (000826),0.749,,
OrganizationCustomSchoolIndicatorStatusType,IndicatorStatusType,varchar,Elementary-Middle Additional Indicator Status (000091),0.7828,English Learner Status (000180),0.7257,IDEA Indicator (000151),0.7247,,
OrganizationSchoolIndicatorStatus,IndicatorStatusType,varchar,Elementary-Middle Additional Indicator Status (000091),0.7828,English Learner Status (000180),0.7257,IDEA Indicator (000151),0.7247,,
K12Organization,School_TargetedSupport,varchar,Targeted Support and Improvement Status (001924),0.7824,Additional Targeted Support and Improvement Status (001925),0.7502,Responsible School Type (000595),0.7247,,
OrganizationSchoolComprehensiveAndTargetedSupport,School_TargetedSupport,varchar,Targeted Support and Improvement Status (001924),0.7824,Additional Targeted Support and Improvement Status (001925),0.7502,Responsible School Type (000595),0.7247,,
OrganizationCustomSchoolIndicatorStatusType,StatedDefinedIndicatorStatus,varchar,Elementary-Middle Additional Indicator Status (000091),0.7799,English Learner Status (000180),0.7417,IDEA Indicator (000151),0.7409,,
OrganizationSchoolIndicatorStatus,StatedDefinedIndicatorStatus,varchar,Elementary-Middle Additional Indicator Status (000091),0.7799,English Learner Status (000180),0.7417,IDEA Indicator (000151),0.7409,,
SchoolPerformanceIndicators,SchoolPerformanceIndicatorType,varchar,Assessment Performance Level Score Metric (000417),0.7799,School Quality or Student Success Indicator Type (002140),0.7794,Assessment Performance Level Label (000718),0.7612,,
K12Organization,LEA_TitleIinstructionalService,varchar,Title I Instructional Services (000282),0.7786,Title I Support Services (000289),0.767,Local Education Agency Title I Support Service (200196),0.7504,,
SchoolPerformanceIndicatorStateDefinedStatus,SchoolPerformanceIndicatorStateDefinedStatusDescription,nvarchar,School Quality or Student Success Indicator Type (002140),0.7747,Progress Achieving English Language Proficiency State Defined Status (001916),0.7569,Progress Achieving English Language Proficiency Indicator Type (001915),0.7275,,
K12StudentCourseSection,OrganizationPersonRoleId_CourseSection,int,Has Professional Development Session Instructor (600119),0.7721,K12 Staff Classification (000087),0.7516,Course Certification Description (001302),0.7441,,
K12Organization,School_ComprehensiveAndTargetedSupport,varchar,Targeted Support and Improvement Status (001924),0.7698,Additional Targeted Support and Improvement Status (001925),0.7482,Responsible School Type (000595),0.7131,,
OrganizationSchoolComprehensiveAndTargetedSupport,School_ComprehensiveAndTargetedSupport,varchar,Targeted Support and Improvement Status (001924),0.7698,Additional Targeted Support and Improvement Status (001925),0.7482,Responsible School Type (000595),0.7131,,
K12SchoolComprehensiveSupportIdentificationType,ComprehensiveSupport,varchar,Comprehensive Support and Improvement Status (001923),0.7643,Has Comprehensive Support and Improvement Identification Type (002182),0.747,Student Support Service Type (000273),0.7288,,
SchoolPerformanceIndicators,SchoolPerformanceIndicatorStateDefinedStatus,varchar,School Quality or Student Success Indicator Type (002140),0.7637,Progress Achieving English Language Proficiency State Defined Status (001916),0.7591,Progress Achieving English Language Proficiency Indicator Type (001915),0.7254,,
K12Organization,School_SchoolDangerousStatus,varchar,Persistently Dangerous Status (000210),0.7623,Has Facility Hazard (600018),0.7305,Facility Hazard (200131),0.7221,,
K12Organization,School_ComprehensiveSupport,varchar,Has K12 Program Or Service (600257),0.7621,Student Support Service Type (000273),0.7423,Responsible School Type (000595),0.7328,,
OrganizationSchoolComprehensiveAndTargetedSupport,School_ComprehensiveSupport,varchar,Has K12 Program Or Service (600257),0.7621,Student Support Service Type (000273),0.7423,Responsible School Type (000595),0.7328,,
SchoolPerformanceIndicatorStateDefinedStatus,SchoolPerformanceIndicatorStateDefinedStatusDefinition,nvarchar,School Quality or Student Success Indicator Type (002140),0.7609,Progress Achieving English Language Proficiency State Defined Status (001916),0.7509,Progress Achieving English Language Proficiency Indicator Type (001915),0.7197,,
